2024-12-05 02:35:54,281 p=1579080 u=root n=ansible | TASK [echo -n > output.log] *************************************************************************************************************************************************************************
2024-12-05 02:36:14,788 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.7.6)
2024-12-05 02:36:15,086 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.8.4)
2024-12-05 02:36:15,422 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.8.5)
2024-12-05 02:36:15,703 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.9.1)
2024-12-05 02:36:15,980 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.9.2)
2024-12-05 02:36:16,250 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.9.3)
2024-12-05 02:36:16,510 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.9.4)
2024-12-05 02:36:16,769 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.9.5)
2024-12-05 02:36:17,045 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.10.0)
2024-12-05 02:36:17,337 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.10.1)
2024-12-05 02:36:17,624 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.10.2)
2024-12-05 02:36:17,909 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.10.3)
2024-12-05 02:36:18,185 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.10.4)
2024-12-05 02:36:18,446 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.10.5)
2024-12-05 02:36:18,699 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.11.3)
2024-12-05 02:36:18,966 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.11.4)
2024-12-05 02:36:19,241 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.11.5)
2024-12-05 02:36:19,576 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.11.6)
2024-12-05 02:36:19,884 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.11.7)
2024-12-05 02:36:20,193 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.11.8)
2024-12-05 02:36:20,463 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.11.9)
2024-12-05 02:36:20,731 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.12.0)
2024-12-05 02:36:20,996 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.12.1)
2024-12-05 02:36:21,324 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.12.2)
2024-12-05 02:36:21,610 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.12.3)
2024-12-05 02:36:21,907 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.12.4)
2024-12-05 02:36:22,182 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.12.5)
2024-12-05 02:36:22,483 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.12.6)
2024-12-05 02:36:23,095 p=1579080 u=root n=ansible | TASK [atlassian.bitbucket : Copy .env with link from template to each version directory] ************************************************************************************************************
2024-12-05 02:36:23,095 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.0.3)
2024-12-05 02:36:23,603 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.1.2)
2024-12-05 02:36:24,097 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.2.0)
2024-12-05 02:36:24,607 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.3.1)
2024-12-05 02:36:25,109 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.4.2)
2024-12-05 02:36:25,632 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.5.4)
2024-12-05 02:36:26,113 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.6.5)
2024-12-05 02:36:26,628 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.7.6)
2024-12-05 02:36:27,113 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.8.4)
2024-12-05 02:36:27,633 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.8.5)
2024-12-05 02:36:28,134 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.9.1)
2024-12-05 02:36:28,651 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.9.2)
2024-12-05 02:36:29,153 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.9.3)
2024-12-05 02:36:29,691 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.9.4)
2024-12-05 02:36:30,204 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.9.5)
2024-12-05 02:36:30,714 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.10.0)
2024-12-05 02:36:31,211 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.10.1)
2024-12-05 02:36:31,704 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.10.2)
2024-12-05 02:36:32,204 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.10.3)
2024-12-05 02:36:32,732 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.10.4)
2024-12-05 02:36:33,277 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.10.5)
2024-12-05 02:36:33,825 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.11.3)
2024-12-05 02:36:34,405 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.11.4)
2024-12-05 02:36:34,975 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.11.5)
2024-12-05 02:36:35,531 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.11.6)
2024-12-05 02:36:36,067 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.11.7)
2024-12-05 02:36:36,591 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.11.8)
2024-12-05 02:36:37,093 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.11.9)
2024-12-05 02:36:37,594 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.12.0)
2024-12-05 02:36:38,090 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.12.1)
2024-12-05 02:36:38,599 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.12.2)
2024-12-05 02:36:39,114 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.12.3)
2024-12-05 02:36:39,625 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.12.4)
2024-12-05 02:36:40,119 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.12.5)
2024-12-05 02:36:40,628 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.12.6)
2024-12-05 02:36:41,182 p=1579080 u=root n=ansible | TASK [atlassian.bitbucket : Copy docker-compose.yml from template to each version directory] ********************************************************************************************************
2024-12-05 02:36:41,183 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.0.3)
2024-12-05 02:36:41,672 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.1.2)
2024-12-05 02:36:42,150 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.2.0)
2024-12-05 02:36:42,658 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.3.1)
2024-12-05 02:36:43,140 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.4.2)
2024-12-05 02:36:43,635 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.5.4)
2024-12-05 02:36:44,161 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.6.5)
2024-12-05 02:36:44,701 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.7.6)
2024-12-05 02:36:45,210 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.8.4)
2024-12-05 02:36:45,723 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.8.5)
2024-12-05 02:36:46,214 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.9.1)
2024-12-05 02:36:46,709 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.9.2)
2024-12-05 02:36:47,204 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.9.3)
2024-12-05 02:36:47,703 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.9.4)
2024-12-05 02:36:48,218 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.9.5)
2024-12-05 02:36:48,759 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.10.0)
2024-12-05 02:36:49,274 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.10.1)
2024-12-05 02:36:49,793 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.10.2)
2024-12-05 02:36:50,304 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.10.3)
2024-12-05 02:36:50,828 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.10.4)
2024-12-05 02:36:51,389 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.10.5)
2024-12-05 02:36:51,919 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.11.3)
2024-12-05 02:36:52,447 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.11.4)
2024-12-05 02:36:52,974 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.11.5)
2024-12-05 02:36:53,518 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.11.6)
2024-12-05 02:36:54,034 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.11.7)
2024-12-05 02:36:54,538 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.11.8)
2024-12-05 02:36:55,041 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.11.9)
2024-12-05 02:36:55,592 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.12.0)
2024-12-05 02:36:56,126 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.12.1)
2024-12-05 02:36:56,680 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.12.2)
2024-12-05 02:36:57,208 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.12.3)
2024-12-05 02:36:57,707 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.12.4)
2024-12-05 02:36:58,212 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.12.5)
2024-12-05 02:36:58,736 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.12.6)
2024-12-05 02:36:59,286 p=1579080 u=root n=ansible | TASK [atlassian.bitbucket : Copy Dockerfile from template to each version directory] ****************************************************************************************************************
2024-12-05 02:36:59,287 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.0.3)
2024-12-05 02:36:59,805 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.1.2)
2024-12-05 02:37:00,364 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.2.0)
2024-12-05 02:37:00,894 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.3.1)
2024-12-05 02:37:01,485 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.4.2)
2024-12-05 02:37:02,162 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.5.4)
2024-12-05 02:37:02,908 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.6.5)
2024-12-05 02:37:03,622 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.7.6)
2024-12-05 02:37:04,245 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.8.4)
2024-12-05 02:37:04,911 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.8.5)
2024-12-05 02:37:05,513 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.9.1)
2024-12-05 02:37:06,132 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.9.2)
2024-12-05 02:37:06,731 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.9.3)
2024-12-05 02:37:07,309 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.9.4)
2024-12-05 02:37:07,855 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.9.5)
2024-12-05 02:37:08,476 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.10.0)
2024-12-05 02:37:09,026 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.10.1)
2024-12-05 02:37:09,578 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.10.2)
2024-12-05 02:37:10,209 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.10.3)
2024-12-05 02:37:10,756 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.10.4)
2024-12-05 02:37:11,296 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.10.5)
2024-12-05 02:37:11,897 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.11.3)
2024-12-05 02:37:12,438 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.11.4)
2024-12-05 02:37:12,989 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.11.5)
2024-12-05 02:37:13,540 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.11.6)
2024-12-05 02:37:14,062 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.11.7)
2024-12-05 02:37:14,609 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.11.8)
2024-12-05 02:37:15,202 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.11.9)
2024-12-05 02:37:15,768 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.12.0)
2024-12-05 02:37:16,331 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.12.1)
2024-12-05 02:37:16,874 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.12.2)
2024-12-05 02:37:17,405 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.12.3)
2024-12-05 02:37:17,937 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.12.4)
2024-12-05 02:37:18,483 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.12.5)
2024-12-05 02:37:19,050 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.12.6)
2024-12-05 02:37:19,680 p=1579080 u=root n=ansible | TASK [atlassian.bitbucket : Copy entrypoint.sh from 'files' directory to each version directory] ****************************************************************************************************
2024-12-05 02:37:19,680 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.0.3)
2024-12-05 02:37:20,246 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.1.2)
2024-12-05 02:37:20,796 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.2.0)
2024-12-05 02:37:21,342 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.3.1)
2024-12-05 02:37:21,939 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.4.2)
2024-12-05 02:37:22,465 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.5.4)
2024-12-05 02:37:23,090 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.6.5)
2024-12-05 02:37:23,614 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.7.6)
2024-12-05 02:37:24,129 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.8.4)
2024-12-05 02:37:24,687 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.8.5)
2024-12-05 02:37:25,228 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.9.1)
2024-12-05 02:37:25,790 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.9.2)
2024-12-05 02:37:26,310 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.9.3)
2024-12-05 02:37:26,922 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.9.4)
2024-12-05 02:37:27,568 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.9.5)
2024-12-05 02:37:28,189 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.10.0)
2024-12-05 02:37:28,793 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.10.1)
2024-12-05 02:37:29,363 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.10.2)
2024-12-05 02:37:29,898 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.10.3)
2024-12-05 02:37:30,453 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.10.4)
2024-12-05 02:37:31,025 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.10.5)
2024-12-05 02:37:31,561 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.11.3)
2024-12-05 02:37:32,099 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.11.4)
2024-12-05 02:37:32,640 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.11.5)
2024-12-05 02:37:33,169 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.11.6)
2024-12-05 02:37:33,702 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.11.7)
2024-12-05 02:37:34,187 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.11.8)
2024-12-05 02:37:34,677 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.11.9)
2024-12-05 02:37:35,281 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.12.0)
2024-12-05 02:37:35,800 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.12.1)
2024-12-05 02:37:36,376 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.12.2)
2024-12-05 02:37:36,923 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.12.3)
2024-12-05 02:37:37,468 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.12.4)
2024-12-05 02:37:37,977 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.12.5)
2024-12-05 02:37:38,491 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.12.6)
2024-12-05 02:37:39,060 p=1579080 u=root n=ansible | TASK [atlassian.bitbucket : Copy Makefile from 'files' directory to each version directory] *********************************************************************************************************
2024-12-05 02:37:39,060 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.0.3)
2024-12-05 02:37:39,585 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.1.2)
2024-12-05 02:37:40,124 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.2.0)
2024-12-05 02:37:40,647 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.3.1)
2024-12-05 02:37:41,220 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.4.2)
2024-12-05 02:37:41,759 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.5.4)
2024-12-05 02:37:42,357 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.6.5)
2024-12-05 02:37:42,885 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.7.6)
2024-12-05 02:37:43,392 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.8.4)
2024-12-05 02:37:43,941 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.8.5)
2024-12-05 02:37:44,534 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.9.1)
2024-12-05 02:37:45,078 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.9.2)
2024-12-05 02:37:45,696 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.9.3)
2024-12-05 02:37:46,234 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.9.4)
2024-12-05 02:37:46,750 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.9.5)
2024-12-05 02:37:47,277 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.10.0)
2024-12-05 02:37:47,798 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.10.1)
2024-12-05 02:37:48,313 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.10.2)
2024-12-05 02:37:48,840 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.10.3)
2024-12-05 02:37:49,417 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.10.4)
2024-12-05 02:37:49,948 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.10.5)
2024-12-05 02:37:50,455 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.11.3)
2024-12-05 02:37:50,995 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.11.4)
2024-12-05 02:37:51,523 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.11.5)
2024-12-05 02:37:52,085 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.11.6)
2024-12-05 02:37:52,573 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.11.7)
2024-12-05 02:37:53,129 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.11.8)
2024-12-05 02:37:53,653 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.11.9)
2024-12-05 02:37:54,222 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.12.0)
2024-12-05 02:37:54,753 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.12.1)
2024-12-05 02:37:55,296 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.12.2)
2024-12-05 02:37:55,801 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.12.3)
2024-12-05 02:37:56,323 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.12.4)
2024-12-05 02:37:56,875 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.12.5)
2024-12-05 02:37:57,395 p=1579080 u=root n=ansible | changed: [localhost] => (item=2.12.6)
2024-12-05 02:37:57,685 p=1579080 u=root n=ansible | TASK [atlassian.bitbucket : Read versions from file] ************************************************************************************************************************************************
2024-12-05 02:37:57,685 p=1579080 u=root n=ansible | ok: [localhost]
2024-12-05 02:37:57,754 p=1579080 u=root n=ansible | TASK [atlassian.bitbucket : Set version variable] ***************************************************************************************************************************************************
2024-12-05 02:37:57,754 p=1579080 u=root n=ansible | ok: [localhost]
2024-12-05 02:37:58,070 p=1579080 u=root n=ansible | TASK [atlassian.bitbucket : Create directories for Bitbucket versions] ******************************************************************************************************************************
2024-12-05 02:37:58,070 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.0.1)
2024-12-05 02:37:58,328 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.0.4)
2024-12-05 02:37:58,592 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.0.5)
2024-12-05 02:37:58,867 p=1579080 u=root n=ansible | changed: [localhost] => (item=3.0.6)
